Code,EQ,Species,Complexes,Complex2,Chemotype,Host,Year ,State,Municipality,Lat,Lon
F1009,3663,FIESC ,FIESC,FIESC,NA,Wheat ,2013,Parana,Roncador,-24.913233,-52.66895
F1010,3662,F. graminearum ,FGSC,FGSC,15-ADON,Wheat ,2013,Parana,Roncador,-24.56671,-52.40699
F1015,3661,F. poae,F. poae,F. poae,NA,Wheat ,2013,Parana,Roncador,-24.913233,-52.66895
F1020,3660,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Roncador,-24.5402,-52.373133
F1021,3644,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Mangueirinha,-26.05065,-52.15775
F1037,3579,F. poae,F. poae,F. poae,NA,Wheat,2013,Parana,Turvo,-24.966519,-51.5008
F1038,3549,F. graminearum ,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.547636,-51.671433
F1039,3567,F. poae,F. poae,F. poae,NA,Wheat,2013,Parana,Guarapuava,-25.549769,-51.492111
F1040,3557,F. graminearum ,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.543444,-51.666044
F1041,3560,F. poae,F. poae,F. poae,NA,Wheat,2013,Parana,Guarapuava,-25.550856,-51.493503
F1042,3565,F. graminearum ,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.550314,-51.491767
F1045,3591,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Pinh‹o,-25.688489,-51.701769
F1046,3562,F. poae,F. poae,F. poae,NA,Wheat,2013,Parana,Guarapuava,-25.550858,-51.492117
F1070,3607,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Foz do Jord‹o,-25.644283,-52.094203
F1071,3606,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Foz do Jord‹o,-25.644256,-52.097697
F1072,3605,F. cortaderiae,FGSC,FGSC,NIV,Wheat,2013,Parana,Foz do Jord‹o,-25.646472,-52.094583
